Oppiusfilius, Oppiusfilius, la, transcription, Oppius</gap>f</abbr>ilius</ex></expan>, texts/xml/emma0001.xml
Osrhoenae, Osrhoenae, la, transcription, Osr</abbr>hoenae</ex></expan>, texts/xml/caes0010.xml
P, P, la, transcription, </lb></gap>P</supplied>, texts/xml/caes0013.xml
PA, PA, la, transcription, PA</p></div>, texts/xml/masa0951.xml
Pa, Pa, la, transcription, Pa</unclear>, texts/xml/caes0018.xml
Pal, Pal, la, transcription, Pal</supplied>, texts/xml/caes0016.xml
Pal, Pal, la, transcription, Pal</supplied>, texts/xml/caes0033.xml
Pal, Pal, la, transcription, Pal</supplied>, texts/xml/caes0351.xml
Palaest, Palaest, la, transcription, </lb>P</supplied>alae</supplied>st</abbr>, texts/xml/caes0020.xml
Palaestinae, Palaestinae, la, transcription, Pal</abbr>aestinae</ex></expan>, texts/xml/bshe0006.xml
Palaestinae, Palaestinae, la, transcription, Palaest</abbr>inae</ex></expan>, texts/xml/caes0004.xml
Palaestinae, Palaestinae, la, transcription, </lb>Pal</abbr>aestinae</ex></expan>, texts/xml/caes0008.xml
Palaestinae, Palaestinae, la, transcription, Pal</abbr>aestinae</ex></expan>, texts/xml/caes0009.xml
Palaestinae, Palaestinae, la, transcription, </lb>Pal</abbr>aestinae</ex></expan>&#44;, texts/xml/caes0013.xml
Palaestinae, Palaestinae, la, transcription, Pal</abbr>aestinae</ex></expan>&#44;, texts/xml/caes0014.xml
Palaestinae, Palaestinae, la, transcription, Palaest</abbr>inae</ex></expan>&#44;, texts/xml/caes0015.xml
Palaestinae, Palaestinae, la, transcription, Palaestinae</expan>, texts/xml/caes0016.xml
Palaestinae, Palaestinae, la, transcription, </lb>Pal</abbr>aestinae</ex></expan>&#44;, texts/xml/caes0017.xml
Palaestinae, Palaestinae, la, transcription, Palaestinae</expan>, texts/xml/caes0018.xml
Palaestinae, Palaestinae, la, transcription, </lb>Palaestinae</expan>, texts/xml/caes0020.xml
Palaestinae, Palaestinae, la, transcription, Pal</abbr>aestinae</ex></expan>, texts/xml/caes0022.xml
Palaestinae, Palaestinae, la, transcription, </lb>Pal</abbr>aestinae</ex></expan>&#44;, texts/xml/caes0032.xml
Palaestinae, Palaestinae, la, transcription, Palaestinae</expan>, texts/xml/caes0033.xml
Palaestinae, Palaestinae, la, transcription, Palaestinae</expan>, texts/xml/caes0351.xml
Palaestinae, Palaestinae, la, transcription, Palaestinae</supplied>, texts/xml/yotv0001.xml
Pannonia, Pannonia, la, transcription, </lb>Pan</hi>nonia, texts/xml/caes0004.xml
Parthos, Parthos, la, transcription, Parthos</del>, texts/xml/caes0004.xml
Perpetuae, perpetuus, la, transcription, </lb>Perpetuae, texts/xml/yotv0001.xml
Pilatus, pilo, la, transcription, Pilatus, texts/xml/caes0043.xml
Pio, pius, la, transcription, P</abbr>io</ex></expan>, texts/xml/bshe0006.xml
Po, Po, la, transcription, </lb></gap>Po</supplied>, texts/xml/caes0043.xml
Potentis, possum, la, transcription, Potentis, texts/xml/caes0146.xml
Primae, primus, la, transcription, Primae, texts/xml/caes0044.xml
Prisci, priscus, la, transcription, Prisci, texts/xml/yotv0001.xml
