Αἰ, εἰ, grc, transcription, Αἰ, texts/xml/zoor0017.xml
Αἰ, εἰ, grc, transcription, Αἰ, texts/xml/zoor0278.xml
Αἰανοῦ, Αἰανοῦ, grc, transcription, </lb>Αἰανοῦ&#44;, texts/xml/zoor0226.xml
Αἰανοῦ, Αἰανοῦ, grc, transcription, Αἰανοῦ&#44;, texts/xml/zoor0240.xml
Αἰανοῦ, Αἰανοῦ, grc, transcription, Αἰανοῦ, texts/xml/zoor0370.xml
Αἰδεσὶου, Αἰδεσὶου, grc, transcription, </lb>Αἰδεσὶου, texts/xml/beth0141.xml
Αἰδεσίῳ, Αἰδεσίῳ, grc, transcription, Αἰδεσίῳ, texts/xml/beth0142.xml
Αἰδέσις, Αἰδέσις, grc, transcription, Αἰδέσις, texts/xml/beth0143.xml
Αἰλίου, Αἰλίου, grc, transcription, Αἰλ</abbr>ίου</ex></expan>, texts/xml/ulat0001.xml
Αἰλίου, Αἰλίου, grc, transcription, Αἰλίου, texts/xml/ulat0006.xml
Αἰλίου, Αἰλίου, grc, transcription, Αἰλίου, texts/xml/ulat0008.xml
Αἰλίου, Αἰλίου, grc, transcription, Αἰλ</abbr>ίου</ex></expan>, texts/xml/ulat0015.xml
Αἰλιανός, Αἰλιανός, grc, transcription, </lb>Αἰλιανός</corr></choice>, texts/xml/zoor0031.xml
Αἰνί, Αἰνί, grc, transcription, Αἰνί, texts/xml/zoor0059.xml
Αἰνίας, Αἰνίας, grc, transcription, </lb>Αἰνίας</sic>, texts/xml/zoor0285.xml
Αἰνίου, Αἰνίου, grc, transcription, </lb>Αἰνίου</sic>, texts/xml/zoor0096.xml
Αἰνίου, Αἰνίου, grc, transcription, </lb>Αἰνίου</sic>, texts/xml/zoor0237.xml
Αἰνίου, Αἰνίου, grc, transcription, Αἰνίου</sic>, texts/xml/zoor0237.xml
Αἰνίου, Αἰνίου, grc, transcription, </lb>Αἰνίου</orig>, texts/xml/zoor0333.xml
Αἰνείας, αἰνείας, grc, transcription, </lb>Αἰνείας</corr></choice>, texts/xml/zoor0285.xml
Αἰνείου, αἰνείας, grc, transcription, Αἰνείου</corr></choice>, texts/xml/zoor0017.xml
Αἰνείου, αἰνείας, grc, transcription, Αἰνείου</corr></choice>, texts/xml/zoor0059.xml
Αἰνείου, αἰνείας, grc, transcription, </lb>Αἰνείου</corr></choice>&#44;, texts/xml/zoor0096.xml
Αἰνείου, αἰνείας, grc, transcription, Αἰνείου</corr></choice>&#44;, texts/xml/zoor0130.xml
Αἰνείου, αἰνείας, grc, transcription, </lb>Αἰνείου</corr></choice>, texts/xml/zoor0237.xml
Αἰνείου, αἰνείας, grc, transcription, Αἰνείου</corr></choice>, texts/xml/zoor0237.xml
Αἰνείου, αἰνείας, grc, transcription, Αἰνείου</corr></choice>&#44;, texts/xml/zoor0278.xml
Αἰνείου, αἰνείας, grc, transcription, </lb>Αἰνείου</reg></choice>, texts/xml/zoor0327.xml
