26, 26, arc, transcription, 26</num>, texts/xml/idum0003.xml
26, 26, arc, transcription, 26</num>, texts/xml/idum0004.xml
26, 26, arc, transcription, 26</num>, texts/xml/idum0008.xml
26, 26, arc, transcription, 26</num>, texts/xml/idum0027.xml
26, 26, arc, transcription, 26</num>, texts/xml/idum0033.xml
26, 26, arc, transcription, 26</num>, texts/xml/idum0090.xml
26, 26, arc, transcription, 26</num>, texts/xml/idum0105.xml
26, 26, arc, transcription, 26</num>, texts/xml/idum0121.xml
26, 26, arc, transcription, 26</num>, texts/xml/idum0310.xml
26, 26, arc, transcription, 26</num>, texts/xml/idum0386.xml
26, 26, arc, transcription, 26, texts/xml/unkn0105.xml
27, 27, arc, transcription, 27</num>, texts/xml/idum0051.xml
27, 27, arc, transcription, 27</num>, texts/xml/idum0063.xml
27, 27, arc, transcription, 27</num>, texts/xml/idum0066.xml
27, 27, arc, transcription, 27</num>, texts/xml/idum0098.xml
27, 27, arc, transcription, 27</num>, texts/xml/idum0124.xml
27, 27, arc, transcription, 27</num>, texts/xml/idum0314.xml
27, 27, arc, transcription, 27, texts/xml/unkn0105.xml
28, 28, arc, transcription, 28</num>, texts/xml/idum0012.xml
28, 28, arc, transcription, 28</num>, texts/xml/idum0036.xml
28, 28, arc, transcription, 28</num>, texts/xml/idum0044.xml
28, 28, arc, transcription, 28</num>, texts/xml/idum0051.xml
28, 28, arc, transcription, 28</num>, texts/xml/idum0098.xml
28, 28, arc, transcription, 28</num>, texts/xml/idum0129.xml
28, 28, arc, transcription, 28</num>, texts/xml/idum0306.xml
29, 29, arc, transcription, 29</num>, texts/xml/idum0015.xml
29, 29, arc, transcription, 29</num>, texts/xml/idum0034.xml
29, 29, arc, transcription, 29</num>, texts/xml/idum0134.xml
29, 29, arc, transcription, 29</num>, texts/xml/idum0157.xml
29, 29, arc, transcription, 29</num>, texts/xml/idum0316.xml
29, 29, arc, transcription, 29, texts/xml/unkn0104.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0001.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0007.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0008.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0015.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0024.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0026.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0027.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0030.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0052.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0066.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0067.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0069.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0069.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0086.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0086.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0090.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0093.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0098.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0099.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0100.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0102.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0108.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0114.xml
3, 3, arc, transcription, 3, texts/xml/idum0115.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0122.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0124.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0128.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0142.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0150.xml
3, 3, arc, transcription, 3</num>, texts/xml/idum0155.xml
