28, arc, transcription, texts/idum0036.xml
28, arc, transcription, texts/idum0044.xml
28, arc, transcription, texts/idum0051.xml
28, arc, transcription, texts/idum0098.xml
28, arc, transcription, texts/idum0129.xml
28, arc, transcription, texts/idum0306.xml
28, heb, transcription, texts/jord0001.xml
29, arc, transcription, texts/idum0015.xml
29, arc, transcription, texts/idum0034.xml
29, arc, transcription, texts/idum0134.xml
29, arc, transcription, texts/idum0157.xml
29, arc, transcription, texts/idum0316.xml
29, heb, transcription, texts/jord0001.xml
29, arc, transcription, texts/unkn0104.xml
3, grc, transcription, texts/beth0170.xml
3, arc, transcription, texts/idum0001.xml
3, arc, transcription, texts/idum0007.xml
3, arc, transcription, texts/idum0008.xml
3, arc, transcription, texts/idum0015.xml
3, arc, transcription, texts/idum0024.xml
3, arc, transcription, texts/idum0026.xml
3, arc, transcription, texts/idum0027.xml
3, arc, transcription, texts/idum0030.xml
3, arc, transcription, texts/idum0052.xml
3, arc, transcription, texts/idum0067.xml
3, arc, transcription, texts/idum0069.xml
3, arc, transcription, texts/idum0086.xml
3, arc, transcription, texts/idum0090.xml
3, arc, transcription, texts/idum0093.xml
3, arc, transcription, texts/idum0098.xml
3, arc, transcription, texts/idum0099.xml
3, arc, transcription, texts/idum0100.xml
3, arc, transcription, texts/idum0102.xml
3, arc, transcription, texts/idum0108.xml
3, arc, transcription, texts/idum0114.xml
3, arc, transcription, texts/idum0115.xml
3, arc, transcription, texts/idum0122.xml
3, arc, transcription, texts/idum0128.xml
3, arc, transcription, texts/idum0142.xml
3, arc, transcription, texts/idum0155.xml
3, arc, transcription, texts/idum0157.xml
3, arc, transcription, texts/idum0160.xml
3, arc, transcription, texts/idum0162.xml
3, arc, transcription, texts/idum0164.xml
3, arc, transcription, texts/idum0170.xml
3, arc, transcription, texts/idum0181.xml
3, arc, transcription, texts/idum0205.xml
3, arc, transcription, texts/idum0207.xml
3, arc, transcription, texts/idum0212.xml
3, arc, transcription, texts/idum0218.xml
3, arc, transcription, texts/idum0226.xml
3, arc, transcription, texts/idum0229.xml
3, arc, transcription, texts/idum0298.xml
3, arc, transcription, texts/idum0299.xml
3, arc, transcription, texts/idum0303.xml
3, arc, transcription, texts/idum0306.xml
3, arc, transcription, texts/idum0309b.xml
3, arc, transcription, texts/idum0311.xml
3, arc, transcription, texts/idum0328.xml
3, arc, transcription, texts/idum0337.xml
3, arc, transcription, texts/idum0376.xml
3, arc, transcription, texts/idum0377.xml
3, arc, transcription, texts/idum0385.xml
3, arc, transcription, texts/idum0386.xml
3, heb, transcription, texts/jord0001.xml
3, arc, transcription, texts/unkn0105.xml
3, arc, transcription, texts/unkn0107.xml
30, arc, transcription, texts/idum0041.xml
30, arc, transcription, texts/idum0086.xml
30, arc, transcription, texts/idum0149.xml
30, arc, transcription, texts/idum0155.xml
30, arc, transcription, texts/idum0207.xml
30, arc, transcription, texts/idum0311.xml
30, heb, transcription, texts/jord0001.xml
31, heb, transcription, texts/jord0001.xml
32, heb, transcription, texts/jord0001.xml
33, arc, transcription, texts/idum0138.xml
33, heb, transcription, texts/jord0001.xml
34, heb, transcription, texts/jord0001.xml
35, heb, transcription, texts/jord0001.xml
36, heb, transcription, texts/jord0001.xml
37, heb, transcription, texts/jord0001.xml
38, heb, transcription, texts/jord0001.xml
39, heb, transcription, texts/jord0001.xml
4, arc, transcription, texts/idum0001.xml
4, arc, transcription, texts/idum0010a.xml
4, arc, transcription, texts/idum0011.xml
4, arc, transcription, texts/idum0013.xml
4, arc, transcription, texts/idum0014.xml
4, arc, transcription, texts/idum0015.xml
4, arc, transcription, texts/idum0018.xml
4, arc, transcription, texts/idum0019.xml
4, arc, transcription, texts/idum0021.xml
4, arc, transcription, texts/idum0023.xml
4, arc, transcription, texts/idum0025.xml
4, arc, transcription, texts/idum0042.xml
4, arc, transcription, texts/idum0059.xml
4, arc, transcription, texts/idum0065.xml
4, arc, transcription, texts/idum0066.xml
4, arc, transcription, texts/idum0113.xml
4, arc, transcription, texts/idum0118.xml
4, arc, transcription, texts/idum0131.xml
4, arc, transcription, texts/idum0146.xml
4, arc, transcription, texts/idum0148.xml
4, arc, transcription, texts/idum0153.xml
4, arc, transcription, texts/idum0165.xml
4, arc, transcription, texts/idum0170.xml
4, arc, transcription, texts/idum0171.xml
4, arc, transcription, texts/idum0176.xml
4, arc, transcription, texts/idum0212.xml
4, arc, transcription, texts/idum0216.xml
4, arc, transcription, texts/idum0218.xml
4, arc, transcription, texts/idum0232.xml
4, arc, transcription, texts/idum0297.xml
