Απολλωνίου, Απολλωνίου, grc, transcription, </lb>'Απολλω</lb>νίου, texts/mare0216.xml
Αππολονίου, Αππολονίου, grc, transcription, </lb>'Αππολονίου</supplied>, texts/mare0212.xml
Αρι, Αρι, grc, transcription, Αρι, texts/bshe0123.xml
Αρνμ, Αρνμ, grc, transcription, Αρν</unclear>μ, texts/ahma0003.xml
Αρτεμισίου, Αρτεμισίου, grc, transcription, </lb>Αρ</unclear>τεμισίου, texts/zoor0326.xml
Ασδ, Ασδ, grc, transcription, </lb>Ασδ, texts/carm0018.xml
Ασιχων, Ασιχων, grc, transcription, Ασιχων, texts/ulat0009.xml
Ασουβος, Ασουβος, grc, transcription, </lb>Ασουβος, texts/jeru0135.xml
Ασους, Ασους, grc, transcription, Ασους, texts/jeru0135.xml
Αυ, Αυ, grc, transcription, Αυ</gap></p></div>, texts/beth0161.xml
Αχων, Αχων, grc, transcription, Αχων, texts/ulat0003.xml
Αύγηϛρατοϛ, Αύγηϛρατοϛ, grc, transcription, Αύγηϛρατοϛ</supplied>, texts/akld0014.xml
Αύγουρίνος, Αύγουρίνος, grc, transcription, </lb>Αύγουρί</lb>νος, texts/haif0032.xml
Αἰ, εἰ, grc, transcription, Αἰ, texts/zoor0017.xml
Αἰ, εἰ, grc, transcription, Αἰ, texts/zoor0278.xml
Αἰανοῦ, Αἰανοῦ, grc, transcription, </lb>Αἰανοῦ&#44;, texts/zoor0226.xml
Αἰανοῦ, Αἰανοῦ, grc, transcription, Αἰανοῦ&#44;, texts/zoor0240.xml
Αἰανοῦ, Αἰανοῦ, grc, transcription, Αἰανοῦ, texts/zoor0370.xml
Αἰδεσὶου, Αἰδεσὶου, grc, transcription, </lb>Αἰδεσὶου, texts/beth0141.xml
Αἰδεσίῳ, Αἰδεσίῳ, grc, transcription, Αἰδεσίῳ, texts/beth0142.xml
Αἰδέσις, Αἰδέσις, grc, transcription, Αἰδέσις, texts/beth0143.xml
Αἰλίου, Αἰλίου, grc, transcription, Αἰλ</abbr>ίου</ex></expan>, texts/ulat0001.xml
Αἰλίου, Αἰλίου, grc, transcription, Αἰλίου, texts/ulat0006.xml
Αἰλίου, Αἰλίου, grc, transcription, Αἰλίου, texts/ulat0008.xml
Αἰλίου, Αἰλίου, grc, transcription, Αἰλ</abbr>ίου</ex></expan>, texts/ulat0015.xml
Αἰλιανός, Αἰλιανός, grc, transcription, </lb>Αἰλιανός</corr></choice>, texts/zoor0031.xml
Αἰνί, Αἰνί, grc, transcription, Αἰνί, texts/zoor0059.xml
Αἰνίας, Αἰνίας, grc, transcription, </lb>Αἰνίας</sic>, texts/zoor0285.xml
Αἰνίου, Αἰνίου, grc, transcription, </lb>Αἰνίου</sic>, texts/zoor0096.xml
Αἰνίου, Αἰνίου, grc, transcription, </lb>Αἰνίου</sic>, texts/zoor0237.xml
Αἰνίου, Αἰνίου, grc, transcription, </lb>Αἰνίου</orig>, texts/zoor0333.xml
Αἰνείας, αἰνείας, grc, transcription, </lb>Αἰνείας</corr></choice>, texts/zoor0285.xml
Αἰνείου, αἰνείας, grc, transcription, Αἰνείου</corr></choice>, texts/zoor0017.xml
Αἰνείου, αἰνείας, grc, transcription, Αἰνείου</corr></choice>, texts/zoor0059.xml
Αἰνείου, αἰνείας, grc, transcription, </lb>Αἰνείου</corr></choice>&#44;, texts/zoor0096.xml
Αἰνείου, αἰνείας, grc, transcription, Αἰνείου</corr></choice>&#44;, texts/zoor0130.xml
Αἰνείου, αἰνείας, grc, transcription, </lb>Αἰνείου</corr></choice>, texts/zoor0237.xml
Αἰνείου, αἰνείας, grc, transcription, Αἰνείου</corr></choice>&#44;, texts/zoor0278.xml
Αἰνείου, αἰνείας, grc, transcription, </lb>Αἰνείου</reg></choice>, texts/zoor0327.xml
Αἰνείου, αἰνείας, grc, transcription, </lb>Αἰνείου</reg></choice>&#44;, texts/zoor0333.xml
Αἰνιλλ, Αἰνιλλ, grc, transcription, Αἰνιλλ, texts/elus0103.xml
Αἰώνι, Αἰώνι, grc, transcription, </lb>Αἰώνι, texts/evro0012.xml
Αἱάνη, Αἱάνη, grc, transcription, Αἱάνη&#44;, texts/zoor0370.xml
Αἴας, αἴας, grc, transcription, </lb></gap>Αἴας, texts/bshe0027.xml
Αὐ, Αὐ, grc, transcription, Αὐ</unclear>, texts/zoor0009.xml
Αὐ, Αὐ, grc, transcription, Αὐ</unclear>, texts/zoor0143.xml
Αὐ, Αὐ, grc, transcription, Αὐ, texts/zoor0201.xml
Αὐdo, Αὐdo, grc, transcription, Αὐd</unclear>o, texts/zoor0307.xml
Αὐγουστοπολίτης, Αὐγουστοπολίτης, grc, transcription, Αὐγουστοπολίτης</corr></choice>&#44;, texts/zoor0278.xml
Αὐγούστου, αὔγουστος, grc, transcription, Αὐγούσ</supplied>του, texts/juei0001.xml
Αὐδ, Αὐδ, grc, transcription, </lb>Αὐ</supplied>δ</abbr>, texts/elus0079.xml
Αὐδανέου, Αὐδανέου, grc, transcription, </lb>Αὐδανέου</sic>, texts/zoor0218.xml
Αὐδανέῳ, Αὐδανέῳ, grc, transcription, Αὐδανέ</abbr>ῳ</ex></orig></choice>, texts/zoor0170.xml
Αὐδενέου, Αὐδενέου, grc, transcription, Αὐδε</lb>νέου</orig>, texts/zoor0327.xml
Αὐδο, Αὐδο, grc, transcription, Αὐδο, texts/zoor0066.xml
Αὐδο, Αὐδο, grc, transcription, Αὐδο, texts/zoor0287.xml
Αὐδονέ, Αὐδονέ, grc, transcription, Αὐδονέ</unclear>, texts/zoor0135.xml
Αὐδονέου, Αὐδονέου, grc, transcription, Αὐδονέου</sic>, texts/zoor0011.xml
Αὐδονέου, Αὐδονέου, grc, transcription, </lb>Αὐδονέου</sic>, texts/zoor0059.xml
Αὐδονέου, Αὐδονέου, grc, transcription, </lb>Αὐδονέ</unclear>ου, texts/zoor0099.xml
Αὐδονέου, Αὐδονέου, grc, transcription, Αὐδονέου</sic>, texts/zoor0109.xml
Αὐδονέου, Αὐδονέου, grc, transcription, Αὐδονέου</sic>, texts/zoor0123.xml
Αὐδονέου, Αὐδονέου, grc, transcription, </lb>Α</unclear>ὐδονέου</sic>, texts/zoor0151.xml
Αὐδονέου, Αὐδονέου, grc, transcription, Αὐδονέου</orig>, texts/zoor0335.xml
Αὐδονέου, Αὐδονέου, grc, transcription, </lb>Αὐδονέου</orig>, texts/zoor0369.xml
ΑὐδονέουΑὐδυναίου, ΑὐδονέουΑὐδυναίου, grc, transcription, Αὐδο</lb></space>νέουΑὐδυναίου</reg></orig></choice>.</p></div>, texts/zoor0324.xml
Αὐδονίῳ, Αὐδονίῳ, grc, transcription, </lb>Αὐδονί</abbr>ῳ</ex></expan>, texts/zoor0254.xml
Αὐδοναί, Αὐδοναί, grc, transcription, Αὐδοναί, texts/zoor0152.xml
Αὐδοναίου, Αὐδοναίου, grc, transcription, Αὐδοναίο</supplied>υ, texts/zoor0182.xml
Αὐδοναίου, Αὐδοναίου, grc, transcription, </lb>Αὐδον</abbr>αίου</ex></expan>, texts/zoor0300.xml
Αὐδοναίῳ, Αὐδοναίῳ, grc, transcription, Αὐδον</abbr>αίῳ</ex></expan>, texts/zoor0223.xml
