3, 3, arc, transcription, 3</num>, texts/idum0226.xml
3, 3, arc, transcription, 3</num>, texts/idum0229.xml
3, 3, arc, transcription, 3</num>, texts/idum0298.xml
3, 3, arc, transcription, 3</num>, texts/idum0299.xml
3, 3, arc, transcription, 3</num>, texts/idum0303.xml
3, 3, arc, transcription, 3</num>, texts/idum0306.xml
3, 3, arc, transcription, 3</num>, texts/idum0309b.xml
3, 3, arc, transcription, 3</num>, texts/idum0311.xml
3, 3, arc, transcription, 3</num>, texts/idum0328.xml
3, 3, arc, transcription, 3</num>, texts/idum0337.xml
3, 3, arc, transcription, 3</num>, texts/idum0376.xml
3, 3, arc, transcription, 3</num>, texts/idum0377.xml
3, 3, arc, transcription, 3</num>, texts/idum0385.xml
3, 3, arc, transcription, 3</num>, texts/idum0386.xml
3, 3, arc, transcription, 3, texts/unkn0105.xml
3, 3, arc, transcription, 3, texts/unkn0107.xml
30, 30, arc, transcription, 30</num>, texts/idum0041.xml
30, 30, arc, transcription, 30</num>, texts/idum0086.xml
30, 30, arc, transcription, 30</num>, texts/idum0149.xml
30, 30, arc, transcription, 30</num>, texts/idum0155.xml
30, 30, arc, transcription, 30</num>, texts/idum0207.xml
30, 30, arc, transcription, 30</num>, texts/idum0311.xml
33, 33, arc, transcription, 33</num>, texts/idum0138.xml
4, 4, arc, transcription, 4</num>, texts/idum0001.xml
4, 4, arc, transcription, 4</num>, texts/idum0010a.xml
4, 4, arc, transcription, 4</num>, texts/idum0011.xml
4, 4, arc, transcription, </lb>4</num>, texts/idum0013.xml
4, 4, arc, transcription, 4</num>, texts/idum0014.xml
4, 4, arc, transcription, 4</num>, texts/idum0015.xml
4, 4, arc, transcription, 4</num>, texts/idum0018.xml
4, 4, arc, transcription, 4</num>, texts/idum0019.xml
4, 4, arc, transcription, 4</num>, texts/idum0021.xml
4, 4, arc, transcription, 4</num>, texts/idum0023.xml
4, 4, arc, transcription, 4</num>, texts/idum0025.xml
