110, 110, la-transl, translation, 110?</p></div>, texts/xml/masa0848.xml
Legio, Legio, la-transl, transcription, Legio, texts/xml/caes0052.xml
Legio, Legio, la-transl, transcription, Legio, texts/xml/caes0054.xml
Legio, Legio, la-transl, transcription, Legio, texts/xml/caes0119.xml
Legio, Legio, la-transl, transcription, Legio, texts/xml/caes0146.xml
Legio, Legio, la-transl, transcription, Legio, texts/xml/caes0148.xml
Lord, Lord, la-transl, transcription, Lord, texts/xml/caes0009.xml
Lord, Lord, la-transl, translation, Lord&#44;</p></div>, texts/xml/jeru0306.xml
Lucius, Lucius, la-transl, transcription, Lucius, texts/xml/caes0004.xml
Magnus, Magnus, la-transl, transcription, </persName>Magnus, texts/xml/caes0119.xml
Marcus, Marcus, la-transl, transcription, </rs>Marcus, texts/xml/caes0009.xml
Marcus, Marcus, la-transl, transcription, </rs>Marcus, texts/xml/caes0016.xml
Marcus, Marcus, la-transl, transcription, Marcus, texts/xml/caes0018.xml
Marcus, Marcus, la-transl, transcription, </rs>Marcus, texts/xml/caes0107.xml
Marcus, Marcus, la-transl, translation, Marcus, texts/xml/caes0003.xml
Marion, Marion, la-transl, translation, Marion</p></div>, texts/xml/jeru0164.xml
Maximianus, Maximianus, la-transl, transcription, </persName></name>Maximianus, texts/xml/caes0009.xml
Maximianus, Maximianus, la-transl, transcription, </persName>Maximianus, texts/xml/caes0014.xml
Maximianus, Maximianus, la-transl, transcription, </lb>Maximianus, texts/xml/yotv0001.xml
Maximinus, Maximinus, la-transl, transcription, </persName>Maximinus, texts/xml/caes0106.xml
Maximus, Maximus, la-transl, transcription, </persName>Maximus, texts/xml/caes0106.xml
Mesopotamia, Mesopotamia, la-transl, transcription, Mesopotamia</placeName>, texts/xml/caes0010.xml
Mesopotamian, Mesopotamian, la-transl, transcription, Mesopotamian, texts/xml/caes0004.xml
Mevius, Mevius, la-transl, transcription, Mevius, texts/xml/caes0004.xml
Numerous, Numerous, la-transl, transcription, Numerous, texts/xml/yotv0001.xml
Osrhoene, Osrhoene, la-transl, transcription, Osrhoene</placeName>&#44;, texts/xml/caes0010.xml
Palaestina, Palaestina, la-transl, transcription, Palaestina</placeName>&#44;, texts/xml/caes0009.xml
Palaestina, Palaestina, la-transl, transcription, Palaestina</placeName>&#44;, texts/xml/caes0013.xml
Palaestina, Palaestina, la-transl, transcription, Palaestina</placeName>&#44;, texts/xml/caes0014.xml
Palaestina, Palaestina, la-transl, transcription, Palaestina</placeName>., texts/xml/caes0015.xml
Palaestina, Palaestina, la-transl, transcription, Palaestina</placeName>&#44;, texts/xml/caes0016.xml
Palaestina, Palaestina, la-transl, transcription, Palaestina</placeName>&#44;, texts/xml/caes0017.xml
Palaestina, Palaestina, la-transl, transcription, Palaestina</placeName>&#44;, texts/xml/caes0018.xml
Palaestina, Palaestina, la-transl, transcription, Palaestina</placeName>., texts/xml/caes0032.xml
Palaestina, Palaestina, la-transl, transcription, Palaestina, texts/xml/yotv0001.xml
PalaestinaVictorinus, PalaestinaVictorinus, la-transl, transcription, Palaestina</placeName>...Victorinus</persName>.</p></div>, texts/xml/caes0020.xml
Palestina, Palestina, la-transl, transcription, Palestina</placeName>, texts/xml/caes0004.xml
Pannonia, Pannonia, la-transl, transcription, Pannonia</placeName>&#44;, texts/xml/caes0004.xml
Parthians, Parthians, la-transl, transcription, Parthians);, texts/xml/caes0004.xml
Pilatus, Pilatus, la-transl, transcription, </persName>Pilatus, texts/xml/caes0043.xml
Pius, Pius, la-transl, transcription, </rs>Pius, texts/xml/caes0009.xml
Pontius, Pontius, la-transl, transcription, Pontius, texts/xml/caes0043.xml
Potens, Potens, la-transl, transcription, </persName>Potens, texts/xml/caes0146.xml
Prima, Prima, la-transl, transcription, Prima, texts/xml/caes0044.xml
Priscus, Priscus, la-transl, transcription, </persName>Priscus, texts/xml/caes0014.xml
Priscus, Priscus, la-transl, transcription, </persName>Priscus, texts/xml/caes0017.xml
Priscus, Priscus, la-transl, transcription, Priscus, texts/xml/yotv0001.xml
Probus, Probus, la-transl, transcription, Probus, texts/xml/caes0013.xml
Probus, Probus, la-transl, transcription, </persName>Probus, texts/xml/caes0016.xml
Procula, Procula, la-transl, transcription, </persName>Procula, texts/xml/caes0032.xml
Protianus, Protianus, la-transl, transcription, </persName>Protianus, texts/xml/caes0146.xml
Publius, Publius, la-transl, translation, P(ublius)</p></div>, texts/xml/emma0001.xml
Quintianus, Quintianus, la-transl, transcription, </persName>Quintianus, texts/xml/caes0015.xml
Quirina, Quirina, la-transl, transcription, Quirina</name>&#44;, texts/xml/caes0015.xml
Quirinaof, Quirinaof, la-transl, transcription, Quirina</name>...of, texts/xml/caes0018.xml
Rhodope, Rhodope, la-transl, transcription, Rhodope, texts/xml/caes0160.xml
Right, Right, la-transl, transcription, </lb>Right, texts/xml/yotv0001.xml
