1, he, transcription, <p>.1, texts/jord0001.xml
וטפחים, he, transcription, </lb>וטפחים, texts/masa0585.xml
וי, he, transcription, ו/י, texts/qumr0001.xml
וכולאילנ, he, transcription, </lb>וכולאילנ, texts/qumr0001.xml
ונג, he, transcription, </lb><unclear>ו</unclear><unclear>נ</unclear><unclear>ג</unclear></gap>, texts/qumr0001.xml
ופרוטין, he, transcription, ופר<supplied>ו</supplied>טין, texts/masa0450.xml
ופרוטין, he, transcription, </lb>ופרוטין, texts/masa0452.xml
ושתי, he, transcription, </lb>ושתי, texts/masa0585.xml
זבדיא, he, transcription, <supplied>ז</supplied>בדיא</p></div>, texts/masa0399.xml
זה, he, transcription, <p>זה, texts/beth0227.xml
זה, he, transcription, <p>זה, texts/beth0228.xml
זה, he, transcription, <p>זה, texts/dabb0006.xml
זה, he, transcription, </lb>זה, texts/jeru0303.xml
זהום, he, transcription, <supplied>זה</supplied>ום, texts/jaff0054.xml
זהל, he, transcription, <p>זה<supplied>ל</supplied>, texts/beth0248.xml
זו, he, transcription, <p>זו</gap></p></div>, texts/beth0245.xml
זו, he, transcription, <p>זו, texts/beth0250.xml
זוא, he, transcription, <p>זוא, texts/beth0244.xml
זונ, he, transcription, <p>זו<supplied>נ</supplied>, texts/beth0246.xml
זירב, he, transcription, <supplied>זי</supplied>רב, texts/mger0037.xml
זכריה, he, transcription, <supplied>ז</supplied>כ<unclear>ר</unclear><supplied>י</supplied>ה</p></div>, texts/masa0418.xml
זכריה, he, transcription, <p>זכ<supplied>ריה</supplied>, texts/masa0477.xml
ח, he, transcription, <p>ח</gap></gap></p></div>, texts/masa0387.xml
ח, he, transcription, <unclear>ח</unclear></gap>, texts/qumr0001.xml
חוני, he, transcription, <p>חוני</p></div>, texts/masa0433.xml
חוניה, he, transcription, <p>חוניה</p></div>, texts/masa0505.xml
חזיר, he, transcription, חזיר</p></div>, texts/jeru0303.xml
חזקיה, he, transcription, <p>חזקיה</p></div>, texts/masa0385.xml
חזקין, he, transcription, <p>חזקין</p></div>, texts/masa0386.xml
חנה, he, transcription, <p>חנה</p></div>, texts/akld0011.xml
חנה, he, transcription, <p>חנה</p></div>, texts/akld0012.xml
חני, he, transcription, <unclear>חני, texts/qumr0001.xml
חניה, he, transcription, חניה, texts/jeru0303.xml
חנינא, he, transcription, </lb>חנינא, texts/masa0484.xml
חנינא, he, transcription, <p>חנינא</p></div>, texts/masa0488.xml
חנני, he, transcription, <p>ח<supplied>נני</supplied>, texts/masa0461.xml
חנניה, he, transcription, </lb></gap>חנניה, texts/jaff0057.xml
חנניה, he, transcription, <p>חנניה</p></div>, texts/masa0392.xml
חנניה, he, transcription, </lb>חנניה, texts/shap0002.xml
חנניה, he, transcription, </lb>חנניה, texts/shap0003.xml
חתומפותביות, he, transcription, <unclear>ח</unclear>/ת<unclear>ו</unclear>מ/פו<unclear>ת</unclear>בי/ות, texts/qumr0001.xml
ט, he, transcription, <p>ט</p></div>, texts/masa0445.xml
טבלה, he, transcription, <p>טבלה, texts/beth0229.xml
טהור, he, transcription, <p>טהור</p></div>, texts/masa0456.xml
טהר, he, transcription, </gap>טהר</gap></p></div>, texts/masa0449.xml
טובי, he, transcription, <p>טובי</p></div>, texts/masa0409.xml
טלה, he, transcription, <p>טלה, texts/tibe0001.xml
י, he, transcription, </gap>י, texts/beth0259.xml
י, he, transcription, <p>י</gap></p></div>, texts/masa0518.xml
י, he, transcription, </gap><unclear>י</unclear>, texts/masa0546.xml
יהא, he, transcription, יהא, texts/huqo0001.xml
יהו, he, transcription, </lb>יהו, texts/masa0484.xml
יהו, he, transcription, <p>יהו</p></div>, texts/masa0485.xml
