!, !, grc-transl, transcription, </rs>!, texts/xml/beth0194.xml
Antoninus, Antoninus, grc-transl, transcription, </lb>Antoninus, texts/xml/hamm0049.xml
Antoninus, Antoninus, grc-transl, translation, Antoninus</p></div>, texts/xml/kafr0007.xml
Any, Any, grc-transl, translation, Any</p></div>, texts/xml/masa0932.xml
Anyone, Anyone, grc-transl, translation, Anyone</p></div>, texts/xml/beth0163.xml
Aphrodite, Aphrodite, grc-transl, translation, Aphrodite</p></div>, texts/xml/mare0499.xml
Apo, Apo, grc-transl, translation, Apo...</p></div>, texts/xml/mare0413.xml
Apoll, Apoll, grc-transl, translation, Apoll...</p></div>, texts/xml/mare0307.xml
Apollo, Apollo, grc-transl, translation, Apollo</p></div>, texts/xml/mare0306.xml
Appas, Appas, grc-transl, translation, Appas</p></div>, texts/xml/carm0008.xml
Appius, Appius, grc-transl, translation, Appius</p></div>, texts/xml/masa0788.xml
Arab, Arab, grc-transl, transcription, 'Arab, texts/xml/beth0046.xml
Araba, Araba, grc-transl, transcription, </rs></placeName>('Araba), texts/xml/beth0046.xml
Araba, Araba, grc-transl, transcription, 'Araba, texts/xml/beth0051.xml
Arabs, Arabs, grc-transl, transcription, Arabs, texts/xml/hamm0054.xml
Arethas, Arethas, grc-transl, translation, Arethas</persName>&#44;, texts/xml/beth0116.xml
Arethas, Arethas, grc-transl, translation, Arethas</persName>&#44;, texts/xml/beth0117.xml
Arethas, Arethas, grc-transl, translation, Arethas</persName>&#44;, texts/xml/beth0118.xml
Aristeas, Aristeas, grc-transl, transcription, Aristeas, texts/xml/beth0173.xml
Aristeas, Aristeas, grc-transl, transcription, Aristeas, texts/xml/beth0174.xml
Aristeas!, Aristeas!, grc-transl, transcription, Aristeas!</p></div>, texts/xml/beth0172.xml
Ariston, Ariston, grc-transl, translation, Ariston&#44;</p></div>, texts/xml/akld0020.xml
Arkadios, Arkadios, grc-transl, transcription, Arkadios, texts/xml/caes0153.xml
Arristoboula, Arristoboula, grc-transl, translation, Arristobou[la].</p></div>, texts/xml/jeru0058.xml
Ascelpius, Ascelpius, grc-transl, transcription, Ascelpius, texts/xml/hamm0005.xml
Asdomninos, Asdomninos, grc-transl, translation, ...Asdomninos</p></div>, texts/xml/carm0018.xml
Asia, Asia, grc-transl, transcription, Asia</placeName></rs></p></div>, texts/xml/beth0121.xml
Aste, Aste, grc-transl, transcription, </rs>Aste, texts/xml/caes0165.xml
Athan, Athan, grc-transl, transcription, Athan</persName>&#44;, texts/xml/beth0091.xml
Athanasia, Athanasia, grc-transl, transcription, </lb>Athanasia</p></div>, texts/xml/kzik0001.xml
Augusta, Augusta, grc-transl, transcription, Augusta, texts/xml/hamm0049.xml
Augusta, Augusta, grc-transl, translation, ...Augusta&#44;</p></div>, texts/xml/elal0017.xml
Augustus, Augustus, grc-transl, transcription, Augustus, texts/xml/caes0005.xml
Augustus, Augustus, grc-transl, transcription, </persName>Augustus, texts/xml/caes0027.xml
Auitus, Auitus, grc-transl, translation, Auitus</persName>&#44;, texts/xml/beth0213.xml
Aulos, Aulos, grc-transl, translation, Aulos(?)</p></div>, texts/xml/khis0071.xml
Aurelios, Aurelios, grc-transl, transcription, Aurelios, texts/xml/caes0005.xml
Aurelios, Aurelios, grc-transl, transcription, Aurelios, texts/xml/caes0245.xml
Ausene, Ausene, grc-transl, translation, Ausene&#44;, texts/xml/kqaz0001.xml
Autumn, Autumn, grc-transl, translation, Autumn</p></div>, texts/xml/sepp0018.xml
Azaria, Azaria, grc-transl, translation, Aza[ria], texts/xml/akld0007.xml
Azi, Azi, grc-transl, transcription, </lb>'Azi-, texts/xml/bshe0103.xml
B, B, grc-transl, transcription, B..., texts/xml/hamm0059.xml
Babylonarian, Babylonarian, grc-transl, transcription, Babylonarian&#44;, texts/xml/caes0184.xml
Badromios, Badromios, grc-transl, transcription, </lb>Badromios</p></div>, texts/xml/mare0007.xml
Ban, Ban, grc-transl, transcription, Ban--, texts/xml/caes0190.xml
BarAbai, BarAbai, grc-transl, transcription, Bar-Abai, texts/xml/beth0089.xml
Baracheos, Baracheos, grc-transl, translation, Baracheos</p></div>, texts/xml/carm0007.xml
Barazabea, Barazabea, grc-transl, translation, Barazabea, texts/xml/beth0097.xml
Bariose, Bariose, grc-transl, transcription, Bariose</persName>.</p></div>, texts/xml/beth0162.xml
Bariose, Bariose, grc-transl, transcription, Bariose, texts/xml/beth0178.xml
Basilia, Basilia, grc-transl, transcription, Basilia</persName>.</p></div>, texts/xml/hamm0039.xml
Bassus, Bassus, grc-transl, transcription, Bassus, texts/xml/hamm0030.xml
Baïsios, Baïsios, grc-transl, transcription, Baïsios, texts/xml/caes0198.xml
Be, Be, grc-transl, transcription, Be, texts/xml/beth0127.xml
Be, Be, grc-transl, transcription, Be, texts/xml/zoor0373.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/akas0001.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/baid0001.xml
Be, Be, grc-transl, translation, Be</rs>&#44;, texts/xml/beth0059.xml
Be, Be, grc-transl, translation, Be</rs>&#44;, texts/xml/beth0087.xml
Be, Be, grc-transl, translation, Be, texts/xml/beth0088.xml
Be, Be, grc-transl, translation, Be, texts/xml/beth0102.xml
Be, Be, grc-transl, translation, Be</rs>&#44;, texts/xml/beth0136.xml
Be, Be, grc-transl, translation, Be</rs>&#44;, texts/xml/beth0194.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/carm0003.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/carm0009.xml
Be, Be, grc-transl, translation, Be, texts/xml/deir0001.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/elal0001.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/elal0002.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/elal0003.xml
Be, Be, grc-transl, translation, Be, texts/xml/elal0004.xml
Be, Be, grc-transl, translation, Be, texts/xml/elal0005.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/elal0006.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/elal0007.xml
Be, Be, grc-transl, translation, Be, texts/xml/elal0008.xml
Be, Be, grc-transl, translation, Be, texts/xml/elal0009.xml
Be, Be, grc-transl, translation, [Be</p></div>, texts/xml/elal0010.xml
Be, Be, grc-transl, translation, (Be, texts/xml/elal0012.xml
Be, Be, grc-transl, translation, [Be</p></div>, texts/xml/elma0001.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/eluy0001.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/fiqg0008.xml
Be, Be, grc-transl, translation, [Be</p></div>, texts/xml/fiqg0009.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/fiqg0010.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/fiqg0011.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/fiqg0015.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/fiqg0016.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/fiqg0017.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/fiqg0018.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/fiqg0019.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/fiqg0020.xml
Be, Be, grc-transl, translation, Be, texts/xml/jurn0001.xml
Be, Be, grc-transl, translation, Be, texts/xml/jurn0002.xml
Be, Be, grc-transl, translation, Be, texts/xml/kafr0003.xml
Be, Be, grc-transl, translation, [Be</p></div>, texts/xml/kafr0005.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/khis0075.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/khis0076.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/khis0078.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/khis0079.xml
Be, Be, grc-transl, translation, [Be, texts/xml/mazr0001.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/rafi0011.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/rafi0012.xml
Be, Be, grc-transl, translation, Be, texts/xml/rasm0001.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/rujm0001.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/sepp0017.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/sepp0022.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/sepp0023.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/sepp0024.xml
Be, Be, grc-transl, translation, Be, texts/xml/squf0002.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/tala0002.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/tala0003.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/tala0004.xml
Be, Be, grc-transl, translation, Be, texts/xml/tell0001.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/zoor0004.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/zoor0015.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/zoor0269.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/zoor0297.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/zoor0322.xml
Be, Be, grc-transl, translation, Be</p></div>, texts/xml/zoor0358.xml
Beirut, Beirut, grc-transl, transcription, Beirut</placeName></rs></p></div>, texts/xml/beth0148.xml
Beirut, Beirut, grc-transl, transcription, Beirut</placeName>.</p></div>, texts/xml/beth0165.xml
Beka, Beka, grc-transl, transcription, Beka</placeName></rs>&#44;, texts/xml/beth0081.xml
Belonging, Belonging, grc-transl, translation, Belonging</p></div>, texts/xml/tbye0001.xml
Beniamin, Beniamin, grc-transl, transcription, Beniamin, texts/xml/caes0189.xml
Beniamis, Beniamis, grc-transl, translation, Beniamis&#44;</p></div>, texts/xml/jaff0048.xml
Benjamin, Benjamin, grc-transl, transcription, Benjamin, texts/xml/beth0080.xml
Benjamin, Benjamin, grc-transl, translation, Benjamin</persName>&#44;, texts/xml/beth0190.xml
Berenice, Berenice, grc-transl, translation, Berenice</p></div>, texts/xml/mari0002.xml
Bernike, Bernike, grc-transl, transcription, Bernike, texts/xml/caes0136.xml
Beryllos, Beryllos, grc-transl, translation, Beryllos</persName>&#44;, texts/xml/caes0079.xml
