#Zubaydu/Zubidu, arc, transcription, ../iip-texts-master/epidoc-files/idum0001.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0010.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0022.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0024.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0030.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0033.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0034.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0035.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0036.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0037.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0038.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0056.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0058.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0060.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0071.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0072.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0076.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0078.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0079.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0080.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0083.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0086.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0089.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0096.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0098.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0100.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0101.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0107.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0110.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0112.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0118.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0120.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0121.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0122.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0128.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0137.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0151.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0155.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0156.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0159.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0161.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0162.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0166.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0168.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0172.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0174.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0205.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0207.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0214.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0216.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0218.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0227.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0297.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0300.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0301.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0306.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0312.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0326.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0375.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0376.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0379.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/idum0385.xml
2, heb, transcription, ../iip-texts-master/epidoc-files/jeru0206.xml
2, heb, transcription, ../iip-texts-master/epidoc-files/jord0001.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/unkn0105.xml
2, arc, transcription, ../iip-texts-master/epidoc-files/unkn0107.xml
20, arc, transcription, ../iip-texts-master/epidoc-files/idum0042.xml
20, arc, transcription, ../iip-texts-master/epidoc-files/idum0057.xml
20, arc, transcription, ../iip-texts-master/epidoc-files/idum0062.xml
20, arc, transcription, ../iip-texts-master/epidoc-files/idum0082.xml
20, arc, transcription, ../iip-texts-master/epidoc-files/idum0087.xml
20, arc, transcription, ../iip-texts-master/epidoc-files/idum0103.xml
20, arc, transcription, ../iip-texts-master/epidoc-files/idum0119.xml
20, arc, transcription, ../iip-texts-master/epidoc-files/idum0120.xml
20, arc, transcription, ../iip-texts-master/epidoc-files/idum0125.xml
20, arc, transcription, ../iip-texts-master/epidoc-files/idum0126.xml
20, arc, transcription, ../iip-texts-master/epidoc-files/idum0143.xml
20, arc, transcription, ../iip-texts-master/epidoc-files/idum0147.xml
20, arc, transcription, ../iip-texts-master/epidoc-files/idum0156.xml
20, arc, transcription, ../iip-texts-master/epidoc-files/idum0158.xml
20, arc, transcription, ../iip-texts-master/epidoc-files/idum0162.xml
20, arc, transcription, ../iip-texts-master/epidoc-files/idum0167.xml
20, arc, transcription, ../iip-texts-master/epidoc-files/idum0206.xml
20, arc, transcription, ../iip-texts-master/epidoc-files/idum0215.xml
20, arc, transcription, ../iip-texts-master/epidoc-files/idum0216.xml
20, arc, transcription, ../iip-texts-master/epidoc-files/idum0308.xml
20, heb, transcription, ../iip-texts-master/epidoc-files/jord0001.xml
20, arc, transcription, ../iip-texts-master/epidoc-files/mger0240.xml
21, arc, transcription, ../iip-texts-master/epidoc-files/idum0006.xml
21, arc, transcription, ../iip-texts-master/epidoc-files/idum0029.xml
21, arc, transcription, ../iip-texts-master/epidoc-files/idum0032.xml
21, arc, transcription, ../iip-texts-master/epidoc-files/idum0220.xml
21, arc, transcription, ../iip-texts-master/epidoc-files/idum0224.xml
21, arc, transcription, ../iip-texts-master/epidoc-files/idum0328.xml
21, heb, transcription, ../iip-texts-master/epidoc-files/jord0001.xml
22, arc, transcription, ../iip-texts-master/epidoc-files/idum0088.xml
22, arc, transcription, ../iip-texts-master/epidoc-files/idum0099.xml
22, arc, transcription, ../iip-texts-master/epidoc-files/idum0104.xml
22, arc, transcription, ../iip-texts-master/epidoc-files/idum0110.xml
22, arc, transcription, ../iip-texts-master/epidoc-files/idum0137.xml
22, arc, transcription, ../iip-texts-master/epidoc-files/idum0159.xml
22, arc, transcription, ../iip-texts-master/epidoc-files/idum0335.xml
22, arc, transcription, ../iip-texts-master/epidoc-files/idum0336.xml
22, arc, transcription, ../iip-texts-master/epidoc-files/idum0375.xml
22, heb, transcription, ../iip-texts-master/epidoc-files/jord0001.xml
23, arc, transcription, ../iip-texts-master/epidoc-files/idum0152.xml
23, arc, transcription, ../iip-texts-master/epidoc-files/idum0309a.xml
23, arc, transcription, ../iip-texts-master/epidoc-files/idum0317.xml
23, arc, transcription, ../iip-texts-master/epidoc-files/idum0327.xml
23, arc, transcription, ../iip-texts-master/epidoc-files/idum0331.xml
23, arc, transcription, ../iip-texts-master/epidoc-files/idum0332.xml
23, heb, transcription, ../iip-texts-master/epidoc-files/jord0001.xml
24, arc, transcription, ../iip-texts-master/epidoc-files/idum0007.xml
24, arc, transcription, ../iip-texts-master/epidoc-files/idum0070.xml
24, arc, transcription, ../iip-texts-master/epidoc-files/idum0093.xml
24, arc, transcription, ../iip-texts-master/epidoc-files/idum0153.xml
24, arc, transcription, ../iip-texts-master/epidoc-files/idum0165.xml
24, arc, transcription, ../iip-texts-master/epidoc-files/idum0326.xml
24, arc, transcription, ../iip-texts-master/epidoc-files/idum0386.xml
24, heb, transcription, ../iip-texts-master/epidoc-files/jord0001.xml
25, arc, diplomatic, ../iip-texts-master/epidoc-files/akko0100.xml
25, arc, transcription, ../iip-texts-master/epidoc-files/idum0042.xml
25, arc, transcription, ../iip-texts-master/epidoc-files/idum0081.xml
25, arc, transcription, ../iip-texts-master/epidoc-files/idum0101.xml
25, arc, transcription, ../iip-texts-master/epidoc-files/idum0175.xml
25, arc, transcription, ../iip-texts-master/epidoc-files/idum0317.xml
25, heb, transcription, ../iip-texts-master/epidoc-files/jord0001.xml
25עליד, arc, transcription, ../iip-texts-master/epidoc-files/idum0091.xml
26, arc, transcription, ../iip-texts-master/epidoc-files/idum0003.xml
